ID,category,xsection,efficiency,kfactor,name,group,subgroup
116886,Signal,2.40E-02,3.81E-02,1,PowHegPythia_ggH100_tautaulh,ggF,100
116887,Signal,2.18E-02,3.76E-02,1,PowHegPythia_ggH105_tautaulh,ggF,105
116888,Signal,1.98E-02,3.66E-02,1,PowHegPythia_ggH110_tautaulh,ggF,110
116889,Signal,1.81E-02,3.49E-02,1,PowHegPythia_ggH115_tautaulh,ggF,115
116616,Signal,1.66E-02,3.24E-02,1,PowHegPythia_ggH120_tautaulh,ggF,120
116890,Signal,1.53E-02,2.91E-02,1,PowHegPythia_ggH125_tautaulh,ggF,125
116891,Signal,1.41E-02,2.50E-02,1,PowHegPythia_ggH130_tautaulh,ggF,130
116892,Signal,1.31E-02,2.06E-02,1,PowHegPythia_ggH135_tautaulh,ggF,135
116893,Signal,1.21E-02,1.61E-02,1,PowHegPythia_ggH140_tautaulh,ggF,140
116894,Signal,1.13E-02,1.19E-02,1,PowHegPythia_ggH145_tautaulh,ggF,145
116895,Signal,1.05E-02,8.12E-03,1,PowHegPythia_ggH150_tautaulh,ggF,150
125190,Signal,1.55E-03,3.81E-02,1,PowHegPythia_VBFH100_tautaulh,VBF,100
125191,Signal,1.47E-03,3.76E-02,1,PowHegPythia_VBFH105_tautaulh,VBF,105
125192,Signal,1.40E-03,3.66E-02,1,PowHegPythia_VBFH110_tautaulh,VBF,110
125193,Signal,1.33E-03,3.49E-02,1,PowHegPythia_VBFH115_tautaulh,VBF,115
116626,Signal,1.27E-03,3.24E-02,1,PowHegPythia_VBFH120_tautaulh,VBF,120
125194,Signal,1.21E-03,2.91E-02,1,PowHegPythia_VBFH125_tautaulh,VBF,125
125195,Signal,1.15E-03,2.50E-02,1,PowHegPythia_VBFH130_tautaulh,VBF,130
125196,Signal,1.10E-03,2.06E-02,1,PowHegPythia_VBFH135_tautaulh,VBF,135
125197,Signal,1.05E-03,1.61E-02,1,PowHegPythia_VBFH140_tautaulh,VBF,140
125198,Signal,1.00E-03,1.19E-02,1,PowHegPythia_VBFH145_tautaulh,VBF,145
125199,Signal,9.62E-04,8.12E-03,1,PowHegPythia_VBFH150_tautaulh,VBF,150
125351,Signal,1.19E-03,3.81E-02,1,PythiaWH100_tautaulh,WH,100
125352,Signal,1.02E-03,3.76E-02,1,PythiaWH105_tautaulh,WH,105
125353,Signal,8.75E-04,3.66E-02,1,PythiaWH110_tautaulh,WH,110
125354,Signal,7.55E-04,3.49E-02,1,PythiaWH115_tautaulh,WH,115
125355,Signal,6.56E-04,3.24E-02,1,PythiaWH120_tautaulh,WH,120
125356,Signal,5.73E-04,2.91E-02,1,PythiaWH125_tautaulh,WH,125
125357,Signal,5.01E-04,2.50E-02,1,PythiaWH130_tautaulh,WH,130
125358,Signal,4.39E-04,2.06E-02,1,PythiaWH135_tautaulh,WH,135
125359,Signal,3.86E-04,1.61E-02,1,PythiaWH140_tautaulh,WH,140
125360,Signal,3.41E-04,1.19E-02,1,PythiaWH145_tautaulh,WH,145
125361,Signal,3.00E-04,8.12E-03,1,PythiaWH150_tautaulh,WH,150
125511,Signal,6.31E-04,3.81E-02,1,PythiaZH100_tautaulh,ZH,100
125512,Signal,5.45E-04,3.76E-02,1,PythiaZH105_tautaulh,ZH,105
125513,Signal,4.72E-04,3.66E-02,1,PythiaZH110_tautaulh,ZH,110
125514,Signal,4.11E-04,3.49E-02,1,PythiaZH115_tautaulh,ZH,115
125515,Signal,3.60E-04,3.24E-02,1,PythiaZH120_tautaulh,ZH,120
125516,Signal,3.16E-04,2.91E-02,1,PythiaZH125_tautaulh,ZH,125
125517,Signal,2.78E-04,2.50E-02,1,PythiaZH130_tautaulh,ZH,130
125518,Signal,2.45E-04,2.06E-02,1,PythiaZH135_tautaulh,ZH,135
125519,Signal,2.17E-04,1.61E-02,1,PythiaZH140_tautaulh,ZH,140
125520,Signal,1.93E-04,1.19E-02,1,PythiaZH145_tautaulh,ZH,145
125521,Signal,1.71E-04,8.12E-03,1,PythiaZH150_tautaulh,ZH,150
105200,Background,1.65E-01,5.55E-01,1,T1_McAtNlo_Jimmy,Top,Top
105204,Background,1.65E-01,4.45E-01,1,TTbar_FullHad_McAtNlo_Jimmy,Top,Top
105500,Background,1.56E-02,1.00E+00,1,AcerMC_Wt,Top,Top
117360,Background,6.93E-03,1.00E+00,1,st_tchan_enu_AcerMC,Top,Top
117361,Background,6.93E-03,1.00E+00,1,st_tchan_munu_AcerMC,Top,Top
117362,Background,6.93E-03,1.00E+00,1,st_tchan_taunu_AcerMC,Top,Top
117363,Background,5.00E-04,1.00E+00,1,st_schan_enu_AcerMC,Top,Top
117364,Background,5.00E-04,1.00E+00,1,st_schan_munu_AcerMC,Top,Top
117365,Background,5.00E-04,1.00E+00,1,st_schan_taunu_AcerMC,Top,Top
106011,Background,1.55E-02,9.90E-04,1,gg2WW0240_JIMMY_WW_enuenu,Diboson,Diboson
106012,Background,1.55E-02,9.90E-04,1,gg2WW0240_JIMMY_WW_enumunu,Diboson,Diboson
106013,Background,1.55E-02,9.23E-04,1,gg2WW0240_JIMMY_WW_enutaunu,Diboson,Diboson
