ID,category,xsection,kfactor,efficiency,name,group,subgroup
,Data,,,,periodA.physics_Egamma,Data,Egamma
,Data,,,,periodB.physics_Egamma,Data,Egamma
,Data,,,,periodC.physics_Egamma,Data,Egamma
,Data,,,,periodD.physics_Egamma,Data,Egamma
,Data,,,,periodE.physics_Egamma,Data,Egamma
,Data,,,,periodG.physics_Egamma,Data,Egamma
,Data,,,,periodH.physics_Egamma,Data,Egamma
,Data,,,,periodI.physics_Egamma,Data,Egamma
,Data,,,,periodJ.physics_Egamma,Data,Egamma
,Data,,,,periodL.physics_Egamma,Data,Egamma
,Data,,,,periodA.physics_Muons,Data,Muons
,Data,,,,periodB.physics_Muons,Data,Muons
,Data,,,,periodC.physics_Muons,Data,Muons
,Data,,,,periodD.physics_Muons,Data,Muons
,Data,,,,periodE.physics_Muons,Data,Muons
,Data,,,,periodG.physics_Muons,Data,Muons
,Data,,,,periodH.physics_Muons,Data,Muons
,Data,,,,periodI.physics_Muons,Data,Muons
,Data,,,,periodJ.physics_Muons,Data,Muons
,Data,,,,periodL.physics_Muons,Data,Muons
,Data,,,,physics_Egamma,Data,Egamma
,Data,,,,physics_Muons,Data,Muons
161305,Signal,0.019499,1.0,1.0,Pythia8_AU2CTEQ6L1_ttH125_WWinclusive,ttH,125
119355,Background,0.069059,1.35,1.0,MadGraphPythia_AUET2BCTEQ6L1_ttbarZ,ttZ,ttZ
174832,Background,0.045357,1.35,1.0,MadGraphPythia_AUET2BCTEQ6L1_ttbarZjExcl,ttZ,ttZ
174833,Background,0.039772,1.35,1.0,MadGraphPythia_AUET2BCTEQ6L1_ttbarZjjIncl,ttZ,ttZ
119583,Background,0.00091901,2.0685,1.0,MadgraphPythia_AUET2B_CTEQ6L1_ttbarWW,tops,ttWW
110101,Background,25.750,1.1042,1.0,AcerMCPythia_P2011CCTEQ6L1_singletop_tchan_l,tops,singlet
110140,Background,20.461,1.0933,1.0,PowhegPythia_P2011C_st_Wtchan_incl_DR,tops,singlet
129477,Background,0.41445,1.1220,1.0,PowhegPythia8_AU2CT10_WZ_Wm11Z11_mll0p250d0_2LeptonFilter5,PowhegDiboson,WZ
129478,Background,0.32676,1.1220,1.0,PowhegPythia8_AU2CT10_WZ_Wm11Z13_mll0p4614d0_2LeptonFilter5,PowhegDiboson,WZ
129479,Background,0.029281,1.1220,1.0,PowhegPythia8_AU2CT10_WZ_Wm11Z15_mll3p804d0_2LeptonFilter5,PowhegDiboson,WZ
129480,Background,0.39963,1.1220,1.0,PowhegPythia8_AU2CT10_WZ_Wm13Z11_mll0p250d0_2LeptonFilter5,PowhegDiboson,WZ
