ID,category,xsection,kfactor,efficiency,name,group,subgroup
,Data,,,,physics_Main,Data,physics_Main
302449,Signal,0.020179,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH300,DCH,DCH300
302450,Signal,0.0059727,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH400,DCH,DCH400
302451,Signal,0.0021733,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH500,DCH,DCH500
302452,Signal,0.00089447,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH600,DCH,DCH600
302453,Signal,0.00040462,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH700,DCH,DCH700
302454,Signal,0.00019397,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH800,DCH,DCH800
302455,Signal,9.8716e-05,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH900,DCH,DCH900
302456,Signal,5.2052e-05,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH1000,DCH,DCH1000
302457,Signal,2.8246e-05,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH1100,DCH,DCH1100
302458,Signal,1.5651e-05,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH1200,DCH,DCH1200
302459,Signal,8.8774e-06,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH1300,DCH,DCH1300
341177,Signal,0.5085,1.0,0.10554,aMcAtNloHerwigppEvtGen_UEEE5_CTEQ6L1_CT10ME_ttH125_dil,ttH,ttH_inc_dil
341270,Signal,0.5085,1.0,0.43929,aMcAtNloHerwigppEvtGen_UEEE5_CTEQ6L1_CT10ME_ttH125_semilep,ttH,ttH_inc_semil
341271,Signal,0.5085,1.0,0.45517,aMcAtNloHerwigppEvtGen_UEEE5_CTEQ6L1_CT10ME_ttH125_allhad,ttH,ttH_inc_allhad
342170,Signal,0.0536,1.0,0.0632,aMcAtNloHppEG_UE5_C6L1_CT10ME_ttH125_H2tau_dilep_hist,ttH,ttH_ditau_dil
342171,Signal,0.2234,1.0,0.0632,aMcAtNloHppEG_UE5_C6L1_CT10ME_ttH125_H2tau_semilep_hist,ttH,ttH_ditau_semil
342172,Signal,0.2315,1.0,0.0632,aMcAtNloHppEG_UE5_C6L1_CT10ME_ttH125_H2tau_allhad_hist,ttH,ttH_ditau_allhad
361063,Background,12.583,0.91,1.0,Sherpa_CT10_llll,Diboson,llll
361064,Background,1.8446,0.91,1.0,Sherpa_CT10_lllvSFMinus,Diboson,lllvSFMinus
361065,Background,3.6235,0.91,1.0,Sherpa_CT10_lllvOFMinus,Diboson,lllvOFMinus
361066,Background,2.5656,0.91,1.0,Sherpa_CT10_lllvSFPlus,Diboson,lllvSFPlus
361067,Background,5.0169,0.91,1.0,Sherpa_CT10_lllvOFPlus,Diboson,lllvOFPlus
361068,Background,14.022,0.91,1.0,Sherpa_CT10_llvv,Diboson,EWllnunu
361068,Background,14.022,0.91,1.0,Sherpa_CT10_llvv,Diboson,llvv
361069,Background,0.025765,0.91,1.0,Sherpa_CT10_llvvjj_ss_EW4,Diboson,llvvjj_ss_EW4
361069,Background,0.025765,0.91,1.0,Sherpa_CT10_llvvjj_ss_EW4,Diboson,QCDllssnunujj
361070,Background,0.043375,0.91,1.0,Sherpa_CT10_llvvjj_ss_EW6,Diboson,EWllssnunujj
361070,Background,0.043375,0.91,1.0,Sherpa_CT10_llvvjj_ss_EW6,Diboson,llvvjj_ss_EW6
361071,Background,0.042017,0.91,1.0,Sherpa_CT10_lllvjj_EW6,Diboson,EWlllnujj
361071,Background,0.042017,0.91,1.0,Sherpa_CT10_lllvjj_EW6,Diboson,lllvjj_EW6
361072,Background,0.1279,0.91,1.0,Sherpa_CT10_lllljj_EW6,Diboson,lllljj_EW6
361073,Background,0.020931,0.91,1.0,Sherpa_CT10_ggllll,Diboson,ggllll
361073,Background,0.02095,0.91,1.0,Sherpa_CT10_ggllll,Diboson,ggllll
361074,Background,0.016161,0.91,1.0,Sherpa_CT10_ggllll_M4l100,Diboson,ggllll_M4l100
361077,Background,0.85492,0.91,1.0,Sherpa_CT10_ggllvv,Diboson,ggllvv
361078,Background,0.3763,0.91,1.0,Sherpa_CT10_ggllvvNoHiggs,Diboson,ggllvvNoHiggs
361079,Background,0.53739,0.91,1.0,Sherpa_CT10_ggllvvOnlyHiggs,Diboson,ggllvvOnlyHiggs
361080,Background,0.050798,0.91,1.0,Sherpa_CT10_ggllvv_ZZcuts,Diboson,ggllvv_ZZcuts
361081,Background,25.995,0.91,1.0,Sherpa_CT10_WplvWmqq,Diboson,WplvWmqq
361081,Background,25.995,0.91,1.0,Sherpa_CT10_WplvWmqq,Diboson,WW
361082,Background,25.974,0.91,1.0169,Sherpa_CT10_WpqqWmlv,Diboson,WW
361082,Background,25.974,0.91,1.0,Sherpa_CT10_WpqqWmlv,Diboson,WpqqWmlv
361083,Background,12.543,0.91,1.0,Sherpa_CT10_WlvZqq,Diboson,WlvZqq
361083,Background,12.543,0.91,1.0,Sherpa_CT10_WlvZqq,Diboson,WZ
361084,Background,3.7583,0.91,1.0,Sherpa_CT10_WqqZll,Diboson,WqqZll
361084,Background,3.7583,0.91,1.0,Sherpa_CT10_WqqZll,Diboson,WZ
361085,Background,7.4151,0.91,1.0,Sherpa_CT10_WqqZvv,Diboson,WqqZvv
361085,Background,7.4151,0.91,1.0,Sherpa_CT10_WqqZvv,Diboson,WZ
361086,Background,16.59,0.91,0.14253,Sherpa_CT10_ZqqZll,Diboson,ZqqZll
361086,Background,16.59,0.91,0.14253,Sherpa_CT10_ZqqZll,Diboson,ZZ
