ID,category,xsection,kfactor,efficiency,name,group,subgroup
,Data,,,,physics_Main,Data,physics_Main
341989,Background,0.00012335,1,1.0,tHjb125_gamgam_yt_plus1,tHbj,gamgam
341992,Background,0.031216,1,1.0,tHjb125_bbbar_yt_plus1,tHbj,bbbar
341995,Background,0.016479,1,1.0,tHjb125_lep_yt_plus1,tHbj,lep
341998,Background,5.7e-05,1,1.0,tWH125_gamgam_yt_plus1,tWH,gamgam
342001,Background,0.007615,1,1.0,tWH125_lep_yt_plus1,tWH,lep
342004,Background,0.014425,1,1.0,tWH125_bbbar_yt_plus1,tWH,bbbar
342284,Background,1.1021,1,1.0,Pythia8EvtGen_WH_inc,VH,WH_inc
342285,Background,0.60072,1,1.0,Pythia8EvtGen_ZH_inc,VH,ZH_inc
343365,Signal,0.05343,1.0,1.0,aMcAtNloPythia8EvtGen_A14_NNPDF23_NNPDF30ME_ttH125_dilep,ttH,ttH_dil_Pythia8
343366,Signal,0.22276,1.0,1.0,aMcAtNloPythia8EvtGen_A14_NNPDF23_NNPDF30ME_ttH125_semilep,ttH,ttH_semilep_Pythia8
343367,Signal,0.23082,1.0,1.0,aMcAtNloPythia8EvtGen_A14_NNPDF23_NNPDF30ME_ttH125_allhad,ttH,ttH_allhad_Pythia8
361063,Background,12.583,0.91,1.0,Sherpa_CT10_llll,Diboson,llll
361064,Background,1.8446,0.91,1.0,Sherpa_CT10_lllvSFMinus,Diboson,lllvSFMinus
361065,Background,3.6235,0.91,1.0,Sherpa_CT10_lllvOFMinus,Diboson,lllvOFMinus
361066,Background,2.5656,0.91,1.0,Sherpa_CT10_lllvSFPlus,Diboson,lllvSFPlus
361067,Background,5.0169,0.91,1.0,Sherpa_CT10_lllvOFPlus,Diboson,lllvOFPlus
361068,Background,14.022,0.91,1.0,Sherpa_CT10_llvv,Diboson,llvv
361069,Background,0.02575,0.91,1.0,Sherpa_CT10_llvvjj_ss_EW4,Diboson,llvvjj_ss_EW4
361070,Background,0.043375,0.91,1.0,Sherpa_CT10_llvvjj_ss_EW6,Diboson,EWllssnunujj
361071,Background,0.042017,0.91,1.0,Sherpa_CT10_lllvjj_EW6,Diboson,lllvjj_EW6
361072,Background,0.1279,0.91,1.0,Sherpa_CT10_lllljj_EW6,Diboson,lllljj_EW6
361073,Background,0.02095,0.91,1.0,Sherpa_CT10_ggllll,Diboson,ggllll
361077,Background,0.85492,0.91,1.0,Sherpa_CT10_ggllvv,Diboson,ggllvv
361091,Background,24.885,0.91,1.0,Sherpa_CT10_WplvWmqq_SHv21_improved,Diboson,WW_SHv21_improved
361092,Background,24.857,0.91,1.0,Sherpa_CT10_WpqqWmlv_SHv21_improved,Diboson,WW_SHv21_improved
361093,Background,11.494,0.91,1.0,Sherpa_CT10_WlvZqq_SHv21_improved,Diboson,WZ_SHv21_improved
361094,Background,3.4234,0.91,1.0,Sherpa_CT10_WqqZll_SHv21_improved,Diboson,WZ_SHv21_improved
361095,Background,6.7770,0.91,1.0,Sherpa_CT10_WqqZvv_SHv21_improved,Diboson,WZ_SHv21_improved
361096,Background,16.445,0.91,1.0,Sherpa_CT10_ZqqZll_SHv21_improved,Diboson,ZZ_SHv21_improved
361097,Background,16.432,0.91,1.0,Sherpa_CT10_ZqqZvv_SHv21_improved,Diboson,ZZ_SHv21_improved
361372,Background,1716.59,0.9013,1.0,Sherpa_CT10_Zee_Pt0_70_CVetoBVeto,Z+jetsCVetoBVeto,ee
361373,Background,313.551,0.9013,1.0,Sherpa_CT10_Zee_Pt0_70_CFilterBVeto,Z+jetsCFilterBVeto,ee
